Treatment,ID,dw_g,h2o_added_60pctWHC_frcDW
control (2019),HEW22,20.16707617,0.24
control (2019),HEW41,20.41499331,0.23
control (2019),HEW42,20.11156602,0.15
control (2019),HEG10,20.01412429,0.22
control (2019),HEG32,19.93939394,0.23
control (2019),HEG48,20.13121547,0.22
air-dry (2019),HEW22,20.0019998,0.37
air-dry (2019),HEW41,20.00192141,0.41
air-dry (2019),HEW42,20.00199601,0.38
air-dry (2019),HEG10,20.00385208,0.45
air-dry (2019),HEG32,20.00190422,0.40
air-dry (2019),HEG48,20.00182315,0.39
