EP_Plotid,Plotid,Exploratory,Type,Total_C,Inorganic_C,Organic_C,Total_N,CN_ratio
HEW20,H548,H,F,32.59,0.648,31.94,2.461,12.98
AEW49,A39748,A,F,75.33,0.662,74.67,5.901,12.65
HEG49,H8020,H,G,47.17,0.665,46.5,4.649,10
AEW16,A35042,A,F,60.63,0.666,59.96,4.34,13.82
HEW27,H310,H,F,50.1,0.684,49.42,3.821,12.93
AEG16,A36692,A,G,60.7,0.718,59.98,5.932,10.11
AEW3,A21613,A,F,69.24,0.72,68.52,4.832,14.18
HEG1,H4580,H,G,54.78,0.759,54.02,5.461,9.89
HEW44,H674,H,F,46.69,0.795,45.89,3.419,13.42
HEG24,H20438,H,G,48.98,0.807,48.17,5.079,9.48
AEW9,A30535,A,F,58.64,0.827,57.81,4.046,14.29
AEG20,A21699,A,G,81.25,0.836,80.41,8.64,9.31
HEG16,H12643,H,G,64.89,0.847,64.04,6.388,10.03
AEW30,A24017,A,F,86.82,0.893,85.92,6.842,12.56
AEW4,A5276,A,F,71.22,0.9,70.32,5.514,12.75
AEW50,A6296,A,F,100.4,0.904,99.55,7.545,13.19
AEG9,A43687,A,G,71.21,0.931,70.27,5.898,11.91
HEG17,H14529,H,G,54.11,0.939,53.17,4.96,10.72
AEG30,A36956,A,G,65.91,0.951,64.96,6.677,9.73
AEG1,A19557,A,G,85.95,0.962,84.98,8.708,9.76
AEW15,A29334,A,F,94.53,0.98,93.55,6.797,13.76
HEG29,H20537,H,G,30.56,1.019,29.54,2.871,10.29
HEW43,H531,H,F,50.98,1.035,49.94,3.89,12.84
AEG14,A46088,A,G,62.33,1.062,61.27,6.072,10.09
HEG40,H30615,H,G,61.48,1.066,60.41,5.988,10.09
HEG9,H30212,H,G,42.26,1.142,41.11,3.576,11.5
AEW20,A16058,A,F,59.6,1.28,58.32,4.801,12.15
HEG34,H30402,H,G,35.28,1.329,33.95,3.404,9.97
HEW13,H302,H,F,70.65,1.401,69.25,4.576,15.13
HEG43,H19577,H,G,46.85,1.437,45.41,4.065,11.17
AEW17,A5149,A,F,53.26,1.546,51.72,4.134,12.51
AEG40,A53417,A,G,69.95,1.604,68.34,7.015,9.74
AEG12,A20771,A,G,69.15,1.615,67.54,6.586,10.26
AEW8,A25660,A,F,62.18,1.766,60.41,4.28,14.11
HEG15,H16781,H,G,55.11,1.794,53.32,5.244,10.17
AEG2,A39275,A,G,72.92,1.872,71.04,7.492,9.48
HEG41,H888,H,G,41.98,2.174,39.81,3.524,11.3
HEG42,H13708,H,G,44,2.188,41.81,3.831,10.91
HEG22,H37447,H,G,50.12,2.236,47.88,4.938,9.7
HEG7,H12850,H,G,57.9,2.412,55.48,5.7,9.73
AEG17,A46114,A,G,67.23,2.548,64.68,6.54,9.89
SEG30,S690,S,G,31.96,2.561,29.4,2.793,10.53
SEG13,S719,S,G,35.92,2.647,33.27,3.366,9.88
SEG21,S988,S,G,283,2.705,280.3,21.84,12.83
HEG13,H4651,H,G,38.26,2.815,35.44,3.57,9.93
AEG43,A49542,A,G,75.63,3.057,72.57,7.47,9.71
HEG23,H20426,H,G,50.17,3.09,47.08,4.753,9.91
AEG23,A45122,A,G,83.43,3.158,80.28,8.166,9.83
HEG47,H2818,H,G,58.25,3.164,55.09,5.568,9.89
HEG12,H20116,H,G,78.38,3.487,74.89,7.857,9.53
HEW1,H274,H,F,49.15,3.582,45.57,3.634,12.54
HEG8,H14707,H,G,60.63,3.587,57.04,5.783,9.86
SEG23,S612,S,G,296.6,3.683,292.9,20.71,14.14
AEG18,A46500,A,G,66.09,3.943,62.14,6.313,9.84
SEG6,S1012,S,G,284.5,3.949,280.6,22.51,12.47
SEG17,S1015,S,G,355.8,4.106,351.7,27.77,12.66
SEG9,S990,S,G,233.6,4.113,229.4,18.2,12.6
HEG2,H8302,H,G,39.23,4.149,35.08,3.55,9.88
HEG27,H20121,H,G,48.76,4.275,44.49,4.262,10.44
HEG25,H37029,H,G,59.54,4.338,55.2,5.596,9.86
SEG25,S1007,S,G,202.3,4.564,197.8,16.21,12.2
HEG30,H20825,H,G,40.15,4.644,35.51,3.673,9.67
HEG5,H20816,H,G,48.4,4.801,43.6,4.439,9.82
HEG44,H20215,H,G,84.38,4.809,79.57,7.703,10.33
HEG35,H30417,H,G,50.8,5.054,45.74,4.786,9.56
HEG31,H20003,H,G,46.29,5.256,41.03,4.094,10.02
SEG39,S780,S,G,22.29,5.415,16.87,1.631,10.34
HEG38,H20433,H,G,33.77,5.442,28.33,2.839,9.98
HEG3,H8709,H,G,39.17,5.884,33.29,3.395,9.81
HEG28,H20535,H,G,38.19,6.118,32.08,3.256,9.85
SEG20,S980,S,G,276,6.489,269.5,21.54,12.51
AEW32,A23243,A,F,105.7,6.68,99.06,7.643,12.96
SEG26,S1022,S,G,305,7.939,297.1,24.17,12.29
HEG11,H24761,H,G,65.07,8.437,56.64,5.445,10.4
HEG26,H2815,H,G,56.14,8.66,47.48,4.699,10.1
HEW45,H305,H,F,67.36,9.939,57.42,4.595,12.5
HEG21,H30909,H,G,42.07,10.33,31.73,3.022,10.5
HEG36,H20241,H,G,63.76,10.7,53.06,5.32,9.97
SEG27,S1051,S,G,370.8,11.29,359.5,24.69,14.56
AEG42,A24657,A,G,96.45,13.31,83.13,9.233,9
HEG37,H20245,H,G,66.94,14.32,52.61,5.394,9.75
AEG44,A33605,A,G,78.49,14.47,64.01,6.645,9.63
SEG1,S1029,S,G,218.5,14.93,203.5,19.1,10.65
AEG25,A7116,A,G,99.27,17.13,82.13,7.286,11.27
HEG18,H16581,H,G,66.61,18.47,48.14,4.099,11.74
HEG46,H30915,H,G,47.28,21.44,25.83,2.484,10.4
SEG19,S676,S,G,101.4,25.68,75.74,7.505,10.09
SEG24,S761,S,G,232.1,28.81,203.3,20.16,10.08
AEG7,A24854,A,G,86.32,33.51,52.8,4.643,11.37
SEG12,S561,S,G,144.4,38.59,105.8,10.65,9.93
SEG2,S573,S,G,171.2,42.76,128.4,12.7,10.11
SEG22,S999,S,G,107.9,44.61,63.35,6.533,9.7
AEG47,A35283,A,G,104.4,45.38,59.05,5.465,10.81
SEG3,S526,S,G,135.5,45.7,89.82,8.889,10.1
SEG29,S1043,S,G,181,49.45,131.6,12.94,10.17
AEG48,A43134,A,G,97.98,54.58,43.39,3.378,12.84
SEG28,S1042,S,G,202.3,56.98,145.3,13.63,10.66
SEG15,S658,S,G,193.4,57.21,136.2,14.09,9.67
SEG10,S502,S,G,205.4,58.16,147.3,14.21,10.37
SEG7,S570,S,G,174.5,59.42,115,11.04,10.42
SEG16,S706,S,G,200.9,60.07,140.8,13.97,10.08
SEG5,S667,S,G,181.2,66.56,114.7,11.51,9.97
SEG14,S1028,S,G,172.3,68.55,103.8,10.45,9.93
SEG4,S712,S,G,210.5,69.4,141.1,13.9,10.15
SEG11,S505,S,G,183.8,71.32,112.5,11.48,9.8
SEG8,S652,S,G,157.2,78.55,78.71,7.344,10.72
