SampleName,ID,timepoint_cmtv,formula_check,start_date,start_date_yyyy,start_date_mm,start_date_dd.d,measurement_date,measurement_date_yyyy,measurement_month_mm,measurement_date_dd.d,Period,time_d,mgCO2_jar,time_d_cmtv
HEG10-2-1,HEG10,1,,43437.75,2018,12,3.75,12/4/18 10:00,2018,12,4.416666667,pre,0.67,20.11871152,0.67
HEG10-2-2,HEG10,1,,43437.75,2018,12,3.75,12/4/18 10:00,2018,12,4.416666667,pre,0.67,19.46740419,0.67
HEG32-2-1,HEG32,1,,43437.75,2018,12,3.75,12/4/18 10:00,2018,12,4.416666667,pre,0.67,11.68460302,0.67
HEG32-2-2,HEG32,1,,43437.75,2018,12,3.75,12/4/18 10:00,2018,12,4.416666667,pre,0.67,11.92786344,0.67
HEG48-2-1,HEG48,1,,43437.75,2018,12,3.75,12/4/18 10:00,2018,12,4.416666667,pre,0.67,17.45115195,0.67
HEG48-2-2,HEG48,1,,43437.75,2018,12,3.75,12/4/18 10:00,2018,12,4.416666667,pre,0.67,15.70685043,0.67
HEW22-2-1,HEW22,1,,43437.75,2018,12,3.75,12/4/18 10:00,2018,12,4.416666667,pre,0.67,0.291452823,0.67
HEW22-2-2,HEW22,1,,43437.75,2018,12,3.75,12/4/18 10:00,2018,12,4.416666667,pre,0.67,0.408081253,0.67
HEW41-2-1,HEW41,1,,43437.75,2018,12,3.75,12/4/18 10:00,2018,12,4.416666667,pre,0.67,0.278438357,0.67
HEW41-2-2,HEW41,1,,43437.75,2018,12,3.75,12/4/18 10:00,2018,12,4.416666667,pre,0.67,0.308948884,0.67
HEW42-2-1,HEW42,1,,43437.75,2018,12,3.75,12/4/18 10:00,2018,12,4.416666667,pre,0.67,0.136437935,0.67
HEW42-2-2,HEW42,1,,43437.75,2018,12,3.75,12/4/18 10:00,2018,12,4.416666667,pre,0.67,0.16010526,0.67
SEG38-2-1,SEG38,1,,43437.75,2018,12,3.75,12/4/18 10:00,2018,12,4.416666667,pre,0.67,5.705380522,0.67
SEG38-2-2,SEG38,1,,43437.75,2018,12,3.75,12/4/18 10:00,2018,12,4.416666667,pre,0.67,5.974196858,0.67
SEG40-2-1,SEG40,1,,43437.75,2018,12,3.75,12/4/18 10:00,2018,12,4.416666667,pre,0.67,6.479564368,0.67
SEG40-2-2,SEG40,1,,43437.75,2018,12,3.75,12/4/18 10:00,2018,12,4.416666667,pre,0.67,5.998449781,0.67
SEG46-2-1,SEG46,1,,43437.75,2018,12,3.75,12/4/18 10:00,2018,12,4.416666667,pre,0.67,9.864406213,0.67
SEG46-2-2,SEG46,1,,43437.75,2018,12,3.75,12/4/18 10:00,2018,12,4.416666667,pre,0.67,9.826483461,0.67
SEW11-2-1,SEW11,1,,43437.75,2018,12,3.75,12/4/18 10:00,2018,12,4.416666667,pre,0.67,0.42354068,0.67
SEW11-2-2,SEW11,1,,43437.75,2018,12,3.75,12/4/18 10:00,2018,12,4.416666667,pre,0.67,0.401801242,0.67
SEW34-2-1,SEW34,1,,43437.75,2018,12,3.75,12/4/18 10:00,2018,12,4.416666667,pre,0.67,0.135072514,0.67
SEW34-2-2,SEW34,1,,43437.75,2018,12,3.75,12/4/18 10:00,2018,12,4.416666667,pre,0.67,0.063871905,0.67
SEW43-2-1,SEW43,1,,43437.75,2018,12,3.75,12/4/18 10:00,2018,12,4.416666667,pre,0.67,0.027720006,0.67
SEW43-2-2,SEW43,1,,43437.75,2018,12,3.75,12/4/18 10:00,2018,12,4.416666667,pre,0.67,0.095085103,0.67
HEG10-2-1,HEG10,2,,43437.75,2018,12,3.75,12/5/18 10:00,2018,12,5.416666667,pre,1.67,39.34355647,1.67
HEG10-2-2,HEG10,2,,43437.75,2018,12,3.75,12/5/18 10:00,2018,12,5.416666667,pre,1.67,34.88988939,1.67
HEG32-2-1,HEG32,2,,43437.75,2018,12,3.75,12/5/18 10:00,2018,12,5.416666667,pre,1.67,26.01943916,1.67
HEG32-2-2,HEG32,2,,43437.75,2018,12,3.75,12/5/18 10:00,2018,12,5.416666667,pre,1.67,30.24339292,1.67
