SampleName,ID,timepoint_cmtv,formula_check,start_date,start_date_yyyy,start_date_mm,start_date_dd.d,measurement_date,measurement_date_yyyy,measurement_month_mm,measurement_date_dd.d,Period,time_d,mgCO2_jar,time_d_cmtv
SA-1,SA,3,,43308.72361,2018,7,27.72361111,1/0/00 0:00,1900,1,0,inc,,,
SA-2,SA,3,,43308.72361,2018,7,27.72361111,1/0/00 0:00,1900,1,0,inc,,,
SA-3,SA,3,,43308.72361,2018,7,27.72361111,1/0/00 0:00,1900,1,0,inc,,,
SB-1,SB,3,,43308.72361,2018,7,27.72361111,8/6/18 10:10,2018,8,6.423611111,inc,9.70,12.90230061,9.70
SB-2,SB,3,,43308.72361,2018,7,27.72361111,8/6/18 10:08,2018,8,6.422222222,inc,9.70,13.43583037,9.70
SB-3,SB,3,,43308.72917,2018,7,27.72916667,8/6/18 10:06,2018,8,6.420833333,inc,9.69,13.09373812,9.69
Du123-1,Du123,3,,43308.72917,2018,7,27.72916667,1/0/00 0:00,1900,1,0,inc,,,
Du120-1,Du120,3,,43308.72917,2018,7,27.72916667,8/6/18 10:12,2018,8,6.425,inc,9.70,12.79401892,9.70
TVA 4E C-1,TVA 4E C,3,,43308.72917,2018,7,27.72916667,1/0/00 0:00,1900,1,0,inc,,,
TVA 6E C-1,TVA 6E C,3,,43308.73542,2018,7,27.73541667,1/0/00 0:00,1900,1,0,inc,,,
TVA 8E C-1,TVA 8E C,3,,43308.73542,2018,7,27.73541667,8/6/18 10:04,2018,8,6.419444444,inc,9.68,70.77631949,9.68
TVA 2B C-1,TVA 2B C,3,,43308.73542,2018,7,27.73541667,1/0/00 0:00,1900,1,0,inc,,,
TVA 3B C-1,TVA 3B C,3,,43308.73542,2018,7,27.73541667,1/0/00 0:00,1900,1,0,inc,,,
TVA 5B C-1,TVA 5B C,3,,43308.73542,2018,7,27.73541667,1/0/00 0:00,1900,1,0,inc,,,
MA-1,MA,4,fix meas date,43308.70139,2018,7,27.70138889,1/0/00 0:00,1900,1,0,inc,,,
MA-2,MA,4,,43308.70139,2018,7,27.70138889,1/0/00 0:00,1900,1,0,inc,,,
MA-3,MA,4,,43308.70139,2018,7,27.70138889,1/0/00 0:00,1900,1,0,inc,,,
MB-1,MB,4,,43308.70139,2018,7,27.70138889,8/9/18 11:50,2018,8,9.493055556,inc,12.79,9.222775237,12.79
MB-2,MB,4,,43308.70139,2018,7,27.70138889,8/9/18 11:52,2018,8,9.494444444,inc,12.79,9.24317069,12.79
MB-3,MB,4,,43308.70139,2018,7,27.70138889,8/9/18 11:54,2018,8,9.495833333,inc,12.79,9.201985599,12.79
SA-1,SA,4,,43308.72361,2018,7,27.72361111,1/0/00 0:00,1900,1,0,inc,,,
SA-2,SA,4,,43308.72361,2018,7,27.72361111,1/0/00 0:00,1900,1,0,inc,,,
SA-3,SA,4,,43308.72361,2018,7,27.72361111,1/0/00 0:00,1900,1,0,inc,,,
SB-1,SB,4,,43308.72361,2018,7,27.72361111,8/9/18 12:00,2018,8,9.5,inc,12.78,15.79995255,12.78
SB-2,SB,4,,43308.72361,2018,7,27.72361111,8/9/18 12:01,2018,8,9.500694444,inc,12.78,15.50534306,12.78
SB-3,SB,4,,43308.72917,2018,7,27.72916667,8/9/18 12:02,2018,8,9.501388889,inc,12.77,15.66621199,12.77
Du123-1,Du123,4,,43308.72917,2018,7,27.72916667,1/0/00 0:00,1900,1,0,inc,,,
Du120-1,Du120,4,,43308.72917,2018,7,27.72916667,8/9/18 11:57,2018,8,9.497916667,inc,12.77,13.05268554,12.77
TVA 4E C-1,TVA 4E C,4,,43308.72917,2018,7,27.72916667,1/0/00 0:00,1900,1,0,inc,,,
TVA 6E C-1,TVA 6E C,4,,43308.73542,2018,7,27.73541667,1/0/00 0:00,1900,1,0,inc,,,
TVA 8E C-1,TVA 8E C,4,,43308.73542,2018,7,27.73541667,8/9/18 12:04,2018,8,9.502777778,inc,12.77,86.60544149,12.77
TVA 2B C-1,TVA 2B C,4,,43308.73542,2018,7,27.73541667,1/0/00 0:00,1900,1,0,inc,,,
TVA 3B C-1,TVA 3B C,4,,43308.73542,2018,7,27.73541667,1/0/00 0:00,1900,1,0,inc,,,
TVA 5B C-1,TVA 5B C,4,,43308.73542,2018,7,27.73541667,1/0/00 0:00,1900,1,0,inc,,,
MA-1,MA,5,fix meas date,43308.70139,2018,7,27.70138889,1/0/00 0:00,1900,1,0,inc,,,
MA-2,MA,5,,43308.70139,2018,7,27.70138889,1/0/00 0:00,1900,1,0,inc,,,
MA-3,MA,5,,43308.70139,2018,7,27.70138889,1/0/00 0:00,1900,1,0,inc,,,
MB-1,MB,5,,43308.70139,2018,7,27.70138889,8/13/18 11:36,2018,8,13.48333333,inc,16.78,10.24185705,16.78
MB-2,MB,5,,43308.70139,2018,7,27.70138889,8/13/18 11:38,2018,8,13.48472222,inc,16.78,9.945703781,16.78
MB-3,MB,5,,43308.70139,2018,7,27.70138889,8/13/18 11:40,2018,8,13.48611111,inc,16.78,10.15365704,16.78
SA-1,SA,5,,43308.72361,2018,7,27.72361111,1/0/00 0:00,1900,1,0,inc,,,
SA-2,SA,5,,43308.72361,2018,7,27.72361111,1/0/00 0:00,1900,1,0,inc,,,
SA-3,SA,5,,43308.72361,2018,7,27.72361111,1/0/00 0:00,1900,1,0,inc,,,
SB-1,SB,5,,43308.72361,2018,7,27.72361111,8/13/18 11:26,2018,8,13.47638889,inc,16.75,18.03631976,16.75
SB-2,SB,5,,43308.72361,2018,7,27.72361111,8/13/18 11:30,2018,8,13.47916667,inc,16.76,17.78549352,16.76
SB-3,SB,5,,43308.72917,2018,7,27.72916667,8/13/18 11:32,2018,8,13.48055556,inc,16.75,18.91371926,16.75
Du123-1,Du123,5,,43308.72917,2018,7,27.72916667,1/0/00 0:00,1900,1,0,inc,,,
Du120-1,Du120,5,,43308.72917,2018,7,27.72916667,8/13/18 11:34,2018,8,13.48194444,inc,16.75,21.72127095,16.75
TVA 4E C-1,TVA 4E C,5,,43308.72917,2018,7,27.72916667,1/0/00 0:00,1900,1,0,inc,,,
TVA 6E C-1,TVA 6E C,5,,43308.73542,2018,7,27.73541667,1/0/00 0:00,1900,1,0,inc,,,
TVA 8E C-1,TVA 8E C,5,,43308.73542,2018,7,27.73541667,1/0/00 0:00,1900,1,0,inc,,,
TVA 2B C-1,TVA 2B C,5,,43308.73542,2018,7,27.73541667,1/0/00 0:00,1900,1,0,inc,,,
TVA 3B C-1,TVA 3B C,5,,43308.73542,2018,7,27.73541667,1/0/00 0:00,1900,1,0,inc,,,
TVA 5B C-1,TVA 5B C,5,,43308.73542,2018,7,27.73541667,1/0/00 0:00,1900,1,0,inc,,,
MA-1,MA,6,fix meas date,43308.70139,2018,7,27.70138889,1/0/00 0:00,1900,1,0,inc,,,
MA-2,MA,6,,43308.70139,2018,7,27.70138889,1/0/00 0:00,1900,1,0,inc,,,
