SampleName,ID,timepoint_cmtv,formula_check,start_date,start_date_yyyy,start_date_mm,start_date_dd.d,measurement_date,measurement_date_yyyy,measurement_month_mm,measurement_date_dd.d,Period,time_d,mgCO2_jar,time_d_cmtv
WB 4B C-1,WB 4B C,1,,43333.60347,2018,8,21.60347222,8/24/18 15:08,2018,8,24.63055556,inc,3.03,9.396003233,3.03
WB 5B C-1,WB 5B C,1,,43333.60347,2018,8,21.60347222,8/24/18 15:10,2018,8,24.63194444,inc,3.03,5.822111361,3.03
WB 8B C-1,WB 8B C,1,,43333.60347,2018,8,21.60347222,8/24/18 15:12,2018,8,24.63333333,inc,3.03,2.888977402,3.03
WB 3E C-1,WB 3E C,1,,43333.65903,2018,8,21.65902778,8/24/18 15:14,2018,8,24.63472222,inc,2.98,2.917391459,2.98
WB 6E C-1,WB 6E C,1,,43333.60347,2018,8,21.60347222,8/24/18 15:15,2018,8,24.63541667,inc,3.03,2.274893555,3.03
WB 7E C-1,WB 7E C,1,,43333.65903,2018,8,21.65902778,8/24/18 15:17,2018,8,24.63680556,inc,2.98,2.447555195,2.98
HEW26-1,HEW26,1,,43333.65903,2018,8,21.65902778,8/24/18 15:18,2018,8,24.6375,inc,2.98,15.6806468,2.98
HEW26-2,HEW26,1,,43333.65903,2018,8,21.65902778,8/24/18 15:21,2018,8,24.63958333,inc,2.98,14.54552273,2.98
HEW47-1,HEW47,1,,43333.65903,2018,8,21.65902778,8/24/18 15:23,2018,8,24.64097222,inc,2.98,27.42567701,2.98
HEW47-2,HEW47,1,,43333.66319,2018,8,21.66319444,8/24/18 15:24,2018,8,24.64166667,inc,2.98,26.05435038,2.98
HEG20-1,HEG20,1,,43333.66319,2018,8,21.66319444,8/24/18 15:46,2018,8,24.65694444,inc,2.99,94.13364951,2.99
HEG20-2,HEG20,1,,43333.66319,2018,8,21.66319444,8/24/18 15:48,2018,8,24.65833333,inc,3.00,90.4271843,3.00
HEG20-3,HEG20,1,,43333.66319,2018,8,21.66319444,8/24/18 15:51,2018,8,24.66041667,inc,3.00,95.89807241,3.00
HEG33-1,HEG33,1,,43333.66319,2018,8,21.66319444,8/24/18 15:53,2018,8,24.66180556,inc,3.00,88.52796317,3.00
HEG33-2,HEG33,1,,43333.66319,2018,8,21.66319444,8/24/18 15:54,2018,8,24.6625,inc,3.00,93.17181221,3.00
HEG33-3,HEG33,1,,43333.66736,2018,8,21.66736111,8/24/18 15:56,2018,8,24.66388889,inc,3.00,98.1892735,3.00
HEG6-1,HEG6,1,,43333.66736,2018,8,21.66736111,8/24/18 15:57,2018,8,24.66458333,inc,3.00,88.36514738,3.00
HEG6-2,HEG6,1,,43333.66736,2018,8,21.66736111,8/24/18 16:01,2018,8,24.66736111,inc,3.00,68.45376172,3.00
HEG6-3,HEG6,1,,43333.66736,2018,8,21.66736111,8/24/18 16:03,2018,8,24.66875,inc,3.00,63.25483088,3.00
HEW49-1,HEW49,1,,43333.66736,2018,8,21.66736111,8/24/18 16:05,2018,8,24.67013889,inc,3.00,9.15901761,3.00
WB 4B C-1,WB 4B C,2,,43333.60347,2018,8,21.60347222,8/27/18 16:15,2018,8,27.67708333,inc,6.07,83.49660566,6.07
WB 5B C-1,WB 5B C,2,,43333.60347,2018,8,21.60347222,8/27/18 16:17,2018,8,27.67847222,inc,6.07,64.22732028,6.07
WB 8B C-1,WB 8B C,2,,43333.60347,2018,8,21.60347222,8/27/18 16:19,2018,8,27.67986111,inc,6.08,46.74074361,6.08
WB 3E C-1,WB 3E C,2,,43333.65903,2018,8,21.65902778,8/27/18 16:21,2018,8,27.68125,inc,6.02,24.21376876,6.02
WB 6E C-1,WB 6E C,2,,43333.60347,2018,8,21.60347222,8/27/18 16:23,2018,8,27.68263889,inc,6.08,14.86636381,6.08
WB 7E C-1,WB 7E C,2,,43333.65903,2018,8,21.65902778,8/27/18 16:25,2018,8,27.68402778,inc,6.03,35.84784992,6.03
HEW26-1,HEW26,2,,43333.65903,2018,8,21.65902778,8/27/18 16:05,2018,8,27.67013889,inc,6.01,32.24796618,6.01
HEW26-2,HEW26,2,,43333.65903,2018,8,21.65902778,8/27/18 16:07,2018,8,27.67152778,inc,6.01,29.25038614,6.01
HEW47-1,HEW47,2,,43333.65903,2018,8,21.65902778,1/0/00 0:00,1900,1,0,inc,,#DIV/0!,
HEW47-2,HEW47,2,,43333.66319,2018,8,21.66319444,1/0/00 0:00,1900,1,0,inc,,#DIV/0!,
HEG20-1,HEG20,2,,43333.66319,2018,8,21.66319444,1/0/00 0:00,1900,1,0,inc,,#DIV/0!,
HEG20-2,HEG20,2,,43333.66319,2018,8,21.66319444,1/0/00 0:00,1900,1,0,inc,,#DIV/0!,
HEG20-3,HEG20,2,,43333.66319,2018,8,21.66319444,1/0/00 0:00,1900,1,0,inc,,#DIV/0!,
HEG33-1,HEG33,2,,43333.66319,2018,8,21.66319444,1/0/00 0:00,1900,1,0,inc,,#DIV/0!,
HEG33-2,HEG33,2,,43333.66319,2018,8,21.66319444,1/0/00 0:00,1900,1,0,inc,,#DIV/0!,
HEG33-3,HEG33,2,,43333.66736,2018,8,21.66736111,1/0/00 0:00,1900,1,0,inc,,#DIV/0!,
HEG6-1,HEG6,2,,43333.66736,2018,8,21.66736111,1/0/00 0:00,1900,1,0,inc,,#DIV/0!,
HEG6-2,HEG6,2,,43333.66736,2018,8,21.66736111,1/0/00 0:00,1900,1,0,inc,,#DIV/0!,
HEG6-3,HEG6,2,,43333.66736,2018,8,21.66736111,1/0/00 0:00,1900,1,0,inc,,#DIV/0!,
HEW49-1,HEW49,2,,43333.66736,2018,8,21.66736111,8/27/18 16:09,2018,8,27.67291667,inc,6.01,24.64631378,6.01
