ID,fraction,top,bot,d14C,Date
Bar0,bulk,15,30,95.38461538,2001
Bar1,bulk,0,15,191.5384615,2001
Bar2,heavy,15,30,71.53846154,2001
Bar3,heavy,0,15,163.8461538,2001
Bar4,occluded light,15,30,64.61538462,2001
Bar5,occluded light,0,15,116.9230769,2001
Bar6,light,15,30,220.7692308,2001
Bar7,light,0,15,291.5384615,2001
