ID,fraction,top,bot,d14C,Date
Bar0,bulk,15,30,24.12060302,2001
Bar1,bulk,0,15,84.42211055,2001
Bar2,heavy,15,30,-22.61306533,2001
Bar3,heavy,0,15,60.30150754,2001
Bar4,occluded light,15,30,18.09045226,2001
Bar5,occluded light,0,15,97.2361809,2001
Bar6,light,15,30,94.97487437,2001
Bar7,light,0,15,136.4321608,2001
